


                       Matrix                
------------------------------------------------------
      G(i,j) * Bc(j) = F(j)     
| 0.0001  0.0005 -0.0002  0.0015 -0.0001  0.0002 -0.0001  0.0006 -0.0001  0.0001 -0.0001  0.0004 -0.0003  0.0000 -0.0001  0.0009 -0.0009 -0.0003 -0.0004  0.0030 -0.0029 -0.0045  0.0020  0.0216  0.0000  0.0000 -0.5000  0.0000  0.0027  0.0000  0.0000  0.0000 |0.00000=|-0.0000
| 0.0014  0.0006  0.0000  0.0089  0.0001  0.0008  0.0000  0.0034 -0.0004  0.0006  0.0000  0.0025 -0.0007  0.0000  0.0000  0.0053 -0.0003 -0.0006  0.0000  0.0179  0.0018 -0.0011  0.0000  0.1350  0.0000  0.0000  0.0000 -0.5000  0.0027  0.0000  0.0000  0.0000 |0.00000=|-0.0039
|-0.0562  0.0118  0.0000 -0.0776 -0.0387  0.0035  0.0000 -0.1052 -0.0302  0.0000  0.0000 -0.0990 -0.0246 -0.0029  0.0000 -0.0827 -0.0244 -0.0042  0.0000 -0.0689 -0.0290 -0.0043  0.0000 -0.0365 -0.0349  0.0000  0.0000  0.0000  0.0055  0.0000  0.0000  0.0000 |0.00000=| 0.0000
| 0.0021  0.0032  0.0000  0.0671  0.0015  0.0020  0.0000  0.0226 -0.0000  0.0017  0.0000  0.0000 -0.0011  0.0004  0.0000 -0.0196 -0.0009 -0.0008  0.0000 -0.0286  0.0029 -0.0023  0.0000 -0.0305  0.0155  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000  0.0000 |0.00000=|-1.4649
|-0.0029  0.0045  0.0020  0.0216 -0.0009  0.0003 -0.0004  0.0030 -0.0003  0.0000 -0.0001  0.0009 -0.0001 -0.0001 -0.0001  0.0004 -0.0001 -0.0002 -0.0001  0.0006  0.0001 -0.0005 -0.0002  0.0015  0.0027  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000 |0.00000=|-0.7257
| 0.0018  0.0011  0.0000  0.1350 -0.0003  0.0006  0.0000  0.0179 -0.0007 -0.0000  0.0000  0.0053 -0.0004 -0.0006  0.0000  0.0025  0.0001 -0.0008  0.0000  0.0034  0.0014 -0.0006  0.0000  0.0089  0.0027  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000 |0.00000=|-0.0094



                       Matrix                
------------------------------------------------------
      G(i,j) * Bc(j) = F(j)     
|-0.5000  0.0000  0.0000  0.0000  0.0000  0.0408  0.0000  0.0000 -0.0056  0.0111  0.0000 -0.0836 -0.0015 -0.0006  0.0000 -0.1001  0.0022 -0.0021  0.0000 -0.0736  0.0061  0.0000  0.0000  0.0000  0.0068  0.0031  0.0000  0.0661  0.0087 -0.0072  0.0000  0.1390 |0.00000=|-1.3922
| 0.0000 -0.0022  0.0000  0.0000  0.0000 -0.0886  0.0000  0.0000 -0.0132 -0.0901  0.0000 -0.1024 -0.0156 -0.0913  0.0000 -0.2410 -0.0115 -0.0969  0.0000 -0.3064 -0.0000 -0.1090  0.0000 -0.3331  0.0110 -0.1212  0.0000 -0.3001  0.0265 -0.1222  0.0000 -0.1548 |0.00000=| 0.0000
| 0.0000  0.0000 -0.5000  0.0000  0.0000  0.0020  0.0000  0.0000 -0.0006  0.0008  0.0034  0.0044 -0.0007 -0.0002 -0.0003  0.0067 -0.0005 -0.0005 -0.0007  0.0077  0.0000 -0.0008 -0.0004  0.0099  0.0005 -0.0007  0.0045  0.0124  0.0006  0.0018  0.1098  0.0102 |0.00000=|-10.6494
| 0.0000  0.0000  0.0000 -0.5000  0.0000  0.0006  0.0000  0.0000 -0.0001  0.0004  0.0000  0.0305 -0.0001  0.0002  0.0000  0.0412 -0.0001  0.0001  0.0000  0.0465  0.0000  0.0001  0.0000  0.0608  0.0001  0.0001  0.0000  0.0806  0.0001  0.0006  0.0000  0.1724 |0.00000=|-0.0046
| 0.0000 -0.0408  0.0000  0.0000 -0.5000  0.0000  0.0000  0.0000  0.0087  0.0072  0.0000 -0.1390  0.0068 -0.0031  0.0000 -0.0661  0.0061  0.0000  0.0000  0.0000  0.0022  0.0021  0.0000  0.0736 -0.0015  0.0006  0.0000  0.1001 -0.0056 -0.0111  0.0000  0.0836 |0.00000=|-4.6321
| 0.0000 -0.0886  0.0000  0.0000  0.0000 -0.0022  0.0000  0.0000 -0.0265 -0.1222  0.0000 -0.1548 -0.0110 -0.1212  0.0000 -0.3001  0.0000 -0.1090  0.0000 -0.3331  0.0115 -0.0969  0.0000 -0.3064  0.0156 -0.0913  0.0000 -0.2410  0.0132 -0.0901  0.0000 -0.1024 |0.00000=| 0.0000
| 0.0000  0.0020  0.0000  0.0000  0.0000  0.0000 -0.5000  0.0000 -0.0006  0.0018  0.1098  0.0102 -0.0005 -0.0007  0.0045  0.0124  0.0000 -0.0008 -0.0004  0.0099  0.0005 -0.0005 -0.0007  0.0077  0.0007 -0.0002 -0.0003  0.0067  0.0006  0.0008  0.0034  0.0044 |0.00000=|-0.9161
| 0.0000  0.0006  0.0000  0.0000  0.0000  0.0000  0.0000 -0.5000 -0.0001  0.0006  0.0000  0.1724 -0.0001  0.0001  0.0000  0.0806  0.0000  0.0001  0.0000  0.0608  0.0001  0.0001  0.0000  0.0465  0.0001  0.0002  0.0000  0.0412  0.0001  0.0004  0.0000  0.0305 |0.00000=|-0.0095
| 0.0077 -0.0042  0.0000  0.0971  0.0616 -0.0042  0.0000  0.0377 -0.5000  0.0000  0.0000  0.0000  0.0000 -0.0270  0.0000 -0.1757  0.0118 -0.0070  0.0000 -0.1001  0.0079  0.0021  0.0000  0.0046  0.0049  0.0029  0.0000  0.0590  0.0033 -0.0000  0.0000  0.1003 |0.00000=|-4.1428
